Lexeme              Token               Token Special
====================================================================

If                  IDENTIFIER          IDENTIFIER
(                   DELIMITER           LPAREN
k                   IDENTIFIER          IDENTIFIER
=                   ASSIGNMENT          EQUAL
5                   INTEGER             INTEGER
)                   DELIMITER           RPAREN
\n                  NEWLINE             NEWLINE
\n                  NEWLINE             NEWLINE
>>INDENT            INDENT              INDENT
Print               IDENTIFIER          IDENTIFIER
.                   DELIMITER           DOT
.                   DELIMITER           DOT
.                   DELIMITER           DOT
.                   DELIMITER           DOT
.                   DELIMITER           DOT
.                   DELIMITER           DOT
.                   DELIMITER           DOT
\n                  NEWLINE             NEWLINE
\n                  NEWLINE             NEWLINE
<<DEDENT            DEDENT              DEDENT
\n                  NEWLINE             NEWLINE
\n                  NEWLINE             NEWLINE
Lexeme              IDENTIFIER          IDENTIFIER
token               IDENTIFIER          IDENTIFIER
\n                  NEWLINE             NEWLINE
\n                  NEWLINE             NEWLINE
If                  IDENTIFIER          IDENTIFIER
if                  IDENTIFIER          IDENTIFIER
\n                  NEWLINE             NEWLINE
\n                  NEWLINE             NEWLINE
Print               IDENTIFIER          IDENTIFIER
\n                  NEWLINE             NEWLINE
\n                  NEWLINE             NEWLINE
+                   ARITHMETIC          PLUS
\n                  NEWLINE             NEWLINE
\n                  NEWLINE             NEWLINE
-                   ARITHMETIC          MINUS
\n                  NEWLINE             NEWLINE
\n                  NEWLINE             NEWLINE
*                   ARITHMETIC          STAR
\n                  NEWLINE             NEWLINE
\n                  NEWLINE             NEWLINE
/                   ARITHMETIC          SLASH
\n                  NEWLINE             NEWLINE
\n                  NEWLINE             NEWLINE
Mod                 IDENTIFIER          IDENTIFIER
\n                  NEWLINE             NEWLINE
\n                  NEWLINE             NEWLINE
Div                 IDENTIFIER          IDENTIFIER
\n                  NEWLINE             NEWLINE
\n                  NEWLINE             NEWLINE
*                   ARITHMETIC          STAR
*                   ARITHMETIC          STAR
\n                  NEWLINE             NEWLINE
\n                  NEWLINE             NEWLINE
^                   ARITHMETIC          CARET
p                   IDENTIFIER          IDENTIFIER
\n                  NEWLINE             NEWLINE
\n                  NEWLINE             NEWLINE
